,user,text,favorite_count,retweet_count,created_at
0,IITKanpur,"#IITKanpur opens its next cohort of #eMasters Degrees to help working professionals with new-age expertise to stay relevant in the fast-evolving technology space. Apply now - https://t.co/CE9QSPCpAK 

#CommunicationSystems #CyberSecurity #CyberDefense #PowerSectorManagment https://t.co/zIgXFir2nf",13,6,2022-09-29 10:18:20+00:00
1,IITKanpur,@CESCLimited @paniitindia @paniit_usa @AlumniPaniit @talentsprint,1,0,2022-09-28 12:32:26+00:00
2,IITKanpur,"To help professionals prepare for the changing face of India's power sector, #IITKanpur offers #eMasters in #PowerSystem Regulation, Economics and Management.  

Apply now - https://t.co/pErNGh2hIA 

 #PowerSectorManagment #PowerSectorRegulations https://t.co/XKwjDgUvRG",11,2,2022-09-28 12:32:25+00:00
3,IITKanpur,Proud of all our alumni who are a part of this group of path breaking innovators !! https://t.co/PjIFksJv9W,31,2,2022-09-28 12:09:18+00:00
4,IITKanpur,@Accenture @Oracle @Capgemini @saplabsindia @reliancejio @airtelindia @airtelnews @hfclg @TrigentSoftware @STL_Tech @symantec,3,0,2022-09-27 18:01:33+00:00
5,IITKanpur,"To help professionals build relevant capabilities and tap opportunities in #5G, #6G, and Edge Computing, #IITKanpur offers #eMasters in #CommunicationSystems. It is an executive-friendly flexible program that comes with several benefits. 

Apply now -  https://t.co/vxvOI7DyOO https://t.co/JUikGnAOyy",24,5,2022-09-27 18:01:33+00:00
6,IITKanpur,"#IITKanpur announced the third cohort of #eMasters with three postgraduate programmes - #CommunicationSystems, #CyberSecurity, and Power Sector Regulation, Economics and Management, as explained by @IndiaToday :

https://t.co/YgtINdwO10

#powersector #economics #management",4,0,2022-09-27 05:09:06+00:00
7,IITKanpur,@Accenture @AccentureIndia @TCS @Infosys @Wipro @hcltech @TechMahindrasol @Mphasis @Mindtree_Ltd @larsentoubro @Cognizant @eClerx @eClerxDigital,2,0,2022-09-26 07:31:26+00:00
8,IITKanpur,"As the threat landscape continues to expand and evolve, #IITKanpur offers #eMasters in #CyberSecurity. It is an executive-friendly flexible program that comes with several benefits. Applications are now open. Apply now - https://t.co/sycu26MHC9 

#cyberdefense #itsiitk https://t.co/plHVC7HELS",21,3,2022-09-26 07:31:25+00:00
9,IITKanpur,"#IITKanpur offers 10 special scholarships to the top 100 JEE Advanced rank holders.

Details as featured by @tt_edugraph  :
https://t.co/4BjET38h4V.",17,1,2022-09-20 05:47:16+00:00
10,IITKanpur,"The scholarships are established with the support from IITK alumnus Mr. Lokvir Kapoor to encourage and reward meritorious students and will cover all the expenses ,including tuition and living, during their stay at IIT Kanpur. 
@careerpointltd @VigyanPrasar @IndiaScienceTV",8,3,2022-09-17 08:23:42+00:00
11,IITKanpur,"#IITKanpur to offer 10 special scholarships for Top 100 JEE Advanced rankers! ""Bright Minds Scholarships"" constitutes of ten prestigious scholarships for students from the top 100 AIR in JEE 2022.

#scholarship #scholarships2022 #brightminds #engineering  #itsiitk https://t.co/Xl14if9WFI",46,11,2022-09-17 08:23:42+00:00
12,IITKanpur,"Mr. Anuz and Mr. Om Upadhyaya from Kendriya Vidyalaya, IIT Kanpur, bagged the first position while Mr. Harsh Jha and Mr. Abhay Chandra of Delhi Public School Azad Nagar Kanpur were the runners-up.",3,0,2022-09-07 09:33:26+00:00
13,IITKanpur,"This annual event, aimed at inculcating their interests in Materials and Metallurgical Engineering, is for the students of Class XI and XII, and witnessed enthusiastic participation from 27 teams representing 14 different schools in Kanpur this year.",5,0,2022-09-07 09:33:25+00:00
14,IITKanpur,"The annual Prof. N. K. Batra Metals &amp; Materials Quiz – 2022 was jointly organized by the Department of Materials Science and Engineering, IIT Kanpur, and The Indian Institute of Metals (IIM), Kanpur Chapter, on September 3, 2022 at #IITKanpur.
#quiz #metallurgy #itsiitk https://t.co/TwrAIFZ8OI",31,2,2022-09-07 09:33:23+00:00
15,IITKanpur,"Joining Prof. AR Harish, Prof. Achla Raina, Prof. Ark Verma and Prof. Kantesh Balani were Advisory Board members Mr. Neelesh Misra, co-founder-editor of Gaon Connection &amp; Ms. Mrinal Pande, well-known author, columnist, along with Prof. T.V. Prabhakar and Prof. Shalabh.",2,0,2022-09-05 11:44:45+00:00
16,IITKanpur,"Shivani Centre for Nurture and Reintegration of Hindi and Other Indian Languages (OILs) at #IITKanpur conducted its Advisory Board meeting on September 02, 2022.

#language #boardmeeting #itsiitk #inclusiveeducation https://t.co/wbhsm09VmC",12,1,2022-09-05 11:44:44+00:00
17,IITKanpur,"#IITKanpur has pioneered in shaping the future of millions of people &amp; takes this opportunity to acknowledge the dedication, excellence &amp; selfless service of all associated with the institute.

#teachersday #HappyTeachersDay #happyteachersday2022 #itsiitk #iitkfaculty https://t.co/YWvfp1tCRo",46,7,2022-09-05 08:56:55+00:00
18,IITKanpur,"Media Feature - @IncubatorIITK signs a pact with @Exotel to enable the incubated startups to access their flagship products.

https://t.co/TQu7QgTgWE

@timesofindia @karandi65",7,0,2022-09-02 07:30:06+00:00
19,IITKanpur,"Udghosh, #IITKanpur's annual sports festival, organized a 1.5 km long Run for a Cause : Women Empowerment and Girl Child Education, with  honorable guest, Mrs. Manasi Pradhan, founder of Honour for Women, Women’s Rights Activist, and Aastha Kiran NGO. 

#itsiitk #womenempowerment https://t.co/rnAiXgriUl",39,3,2022-09-01 08:01:56+00:00
20,IITKanpur,"GATE 2023 registrations are now open!!
We at #IITKanpur are all set. Are you?

https://t.co/qvXt3LXUJX

#GATEExamination #gate2023 #itsiitk @republic @AboutGATE2023",27,3,2022-08-30 09:18:43+00:00
21,IITKanpur,"Media feature - @ndtveducation details the Smart India Hackathon grand finale with #IITKanpur being one of the nodal centres.

https://t.co/pEDMcesckk",34,2,2022-08-25 12:09:13+00:00
22,IITKanpur,"#IITKanpur is proud to be one of the nodal centers to facilitate the SIH Software edition. 27 teams having 150 participants are competing against 27 problem statements from 23 organizations where prizes of Rs. 1 lakh, Rs. 75000, &amp; Rs. 50000 will be provided to the winning teams.",16,2,2022-08-24 09:17:24+00:00
23,IITKanpur,"Smart India Hackathon 2022 is jointly organized by the @mhrd_innovation, @AICTE_INDIA, @Persistentsys &amp; @i4CIndia. @DDNational @ @AkashvaniAIR are the media partners, while @Shell, and @awscloud are the sponsoring partners.",7,2,2022-08-24 09:17:24+00:00
24,IITKanpur,"Hon’ble Prime Minister of India, Shri @narendramodi Ji, has been interacting with the student participants of the Smart India Hackathon every year since its inception and is expected to interact with the students this year again on the evening of 25th August 2022. @PMOIndia",5,1,2022-08-24 09:17:23+00:00
25,IITKanpur,"SIH 2022 has offered 476 problem statements received from 62 organizations. 2033 winner teams of campus level hackathons organized under Smart India Hackathon 2022, comprising more than 15000 students will participate in this year’s SIH grand finale at the national level.",8,1,2022-08-24 09:17:23+00:00
26,IITKanpur,"Smart India Hackathon, a nationwide initiative by the @EduMinOfIndia’s Innovation Cell to provide students a platform to solve the pressing problems of  government, ministries, departments, industries etc, has its Hardware grand finale from 25-29 Aug &amp; Software from 25-26 Aug. https://t.co/2owxElaHJj",100,16,2022-08-24 09:17:22+00:00
27,IITKanpur,"Featuring the upcoming Gangwal School of Medical Sciences and Technology at #IITKanpur, @careers360 
talks about IIT's and being the future of #Medtech in India.

https://t.co/D2BorxudYU",41,3,2022-08-23 07:54:52+00:00
28,IITKanpur,"Today is a day to feel proud about being a part of this great nation. May this spirit of freedom lead us all to success and glory in life. 

#IITKanpur wishes everyone a Happy Independence Day!

#AzadiKaAmritMahotsav #IndependenceDay #independenceday2022 #75yearsofindependence https://t.co/ltDYDQr5aa",32,1,2022-08-15 10:34:55+00:00
